"","room_id","host_id","room_type","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","price","latitude","longitude"
"26529",7914359,20582119,"Entire home/apt","Downtown",125,4.5,6,2,210,42.355202,"-71.06057"
"26530",19501968,4140161,"Entire home/apt","South Boston Waterfront",0,0,4,1,215,42.349706,"-71.041964"
"26531",24240,97821,"Entire home/apt","North End",51,5,6,2,260,42.36366,"-71.050232"
"26532",17156819,102498215,"Entire home/apt","Downtown",15,4.5,8,2,300,42.358576,"-71.053581"
"26533",19225709,22591136,"Entire home/apt","Downtown",1,0,4,1,235,42.351223,"-71.064596"
"26534",18356839,127064452,"Entire home/apt","South Boston Waterfront",0,0,4,2,249,42.349254,"-71.049176"
"26535",9259184,2006852,"Entire home/apt","North End",131,5,4,2,255,42.365166,"-71.056944"
"26536",5019306,15862012,"Entire home/apt","South Boston",56,5,4,2,265,42.334838,"-71.029737"
"26537",17806747,10250257,"Entire home/apt","North End",6,5,2,1,270,42.364087,"-71.051788"
"26538",2754975,6885890,"Entire home/apt","Beacon Hill",65,5,4,1,250,42.357568,"-71.063661"
"26539",9461126,49027294,"Entire home/apt","Brighton",0,0,6,2,200,42.344014,"-71.168946"
"26540",2880944,5052732,"Entire home/apt","Jamaica Plain",6,5,4,2,185,42.313951,"-71.116009"
"26541",6862758,35962316,"Entire home/apt","Jamaica Plain",13,5,5,2,200,42.318139,"-71.103674"
"26542",3079305,15637560,"Entire home/apt","Jamaica Plain",43,5,4,2,199,42.306943,"-71.114016"
"26543",6386351,33289576,"Entire home/apt","Jamaica Plain",0,0,3,1,185,42.302487,"-71.113314"
"26544",27611,119381,"Entire home/apt","Jamaica Plain",10,4.5,2,1,185,42.315565,"-71.114827"
"26545",11853416,7900634,"Entire home/apt","Mattapan",2,0,5,2,189,42.278521,"-71.069144"
"26546",6317722,9410008,"Entire home/apt","South Boston",81,5,4,2,200,42.334338,"-71.044829"
"26547",15481874,21702281,"Entire home/apt","Jamaica Plain",7,4.5,4,2,185,42.319979,"-71.10934"
"26548",16253497,30283594,"Entire home/apt","Fenway",1,0,5,2,185,42.344549,"-71.09701"
"26549",13813809,47664830,"Entire home/apt","South Boston Waterfront",2,0,4,1,250,42.347944,"-71.038157"
"26550",19141729,10850877,"Entire home/apt","South Boston",3,5,16,6,300,42.329914,"-71.032352"
"26551",13080375,12243051,"Entire home/apt","Chinatown",14,4.5,6,3,259,42.351415,"-71.061762"
"26552",19436968,12243051,"Entire home/apt","Downtown",1,0,8,4,299,42.355782,"-71.060917"
"26553",15165443,92522752,"Entire home/apt","Charlestown",0,0,4,2,250,42.376651,"-71.06523"
"26554",23668,25188,"Entire home/apt","West End",0,0,2,1,249,42.363865,"-71.06895"
"26555",6181230,25188,"Entire home/apt","Downtown",3,3.5,2,1,249,42.365967,"-71.059535"
"26556",9991733,18202088,"Entire home/apt","West End",3,5,3,1,259,42.364974,"-71.069616"
"26557",25418,25188,"Entire home/apt","West End",4,5,2,1,249,42.364945,"-71.067668"
"26558",1868004,9419684,"Entire home/apt","West End",6,5,3,1,279,42.363251,"-71.067358"
"26559",665035,25188,"Entire home/apt","Downtown",2,0,3,1,279,42.362565,"-71.063698"
"26560",16336756,106950828,"Entire home/apt","West End",0,0,2,1,299,42.36485,"-71.06851"
"26561",4978467,11017004,"Entire home/apt","Beacon Hill",4,5,2,2,225,42.360573,"-71.065486"
"26562",6886946,36088668,"Entire home/apt","Charlestown",25,5,4,2,225,42.383642,"-71.068787"
"26563",4467841,9419684,"Entire home/apt","West End",1,0,5,2,289,42.3639,"-71.06997"
"26564",14594810,90526463,"Entire home/apt","Charlestown",1,0,2,1,249,42.379994,"-71.066525"
"26565",1886037,1587128,"Entire home/apt","Beacon Hill",1,0,4,2,230,42.360561,"-71.071406"
"26566",44205,128280,"Entire home/apt","Charlestown",78,5,2,1,286,42.376551,"-71.066769"
"26567",3931204,9419684,"Entire home/apt","West End",9,5,3,1,220,42.364045,"-71.064786"
"26568",9386847,27446821,"Entire home/apt","Beacon Hill",0,0,5,2,220,42.359355,"-71.064368"
"26569",4653267,9520740,"Entire home/apt","North End",1,0,4,1,235,42.363615,"-71.053755"
"26570",13585624,814298,"Entire home/apt","Charlestown",7,4.5,4,2,201,42.374999,"-71.057775"
"26571",4350995,22302321,"Entire home/apt","North End",8,5,2,1,250,42.365658,"-71.055882"
"26572",8454985,15151322,"Entire home/apt","Charlestown",13,5,3,2,225,42.376634,"-71.052379"
"26573",17039358,814298,"Entire home/apt","Back Bay",8,4.5,6,2,250,42.351673,"-71.082842"
"26574",15370440,630381,"Entire home/apt","Fenway",11,4,4,2,211,42.344104,"-71.08789"
"26575",4510513,20857768,"Entire home/apt","Downtown",32,4.5,2,0,259,42.355917,"-71.059775"
"26576",18961207,24425258,"Entire home/apt","South End",3,5,4,2,230,42.340938,"-71.074714"
"26577",17134163,1386951,"Entire home/apt","Back Bay",13,5,4,2,225,42.348663,"-71.088222"
"26578",6957702,8077502,"Entire home/apt","Back Bay",10,4.5,4,2,210,42.351285,"-71.077722"
"26579",17700561,20405174,"Entire home/apt","South End",9,5,3,2,249,42.337999,"-71.075"
"26580",19158669,20079643,"Entire home/apt","Back Bay",1,0,4,2,299,42.346635,"-71.079362"
"26581",10266397,48494513,"Entire home/apt","Back Bay",11,4,2,1,249,42.348345,"-71.086204"
"26582",8201104,43217109,"Entire home/apt","South End",1,0,5,3,255,42.337502,"-71.076538"
"26583",18462544,21184200,"Entire home/apt","Downtown",8,5,7,2,200,42.356853,"-71.054588"
"26584",15470948,26061877,"Entire home/apt","Back Bay",4,5,2,1,280,42.353055,"-71.078555"
"26585",14950089,92691757,"Entire home/apt","Charlestown",5,5,2,0,229,42.371724,"-71.059147"
"26586",7714627,20627610,"Entire home/apt","South End",105,5,3,1,210,42.343841,"-71.071827"
"26587",19065795,814298,"Entire home/apt","Back Bay",1,0,4,1,206,42.3498,"-71.085351"
"26588",10211953,52471461,"Entire home/apt","North End",14,5,2,1,210,42.367131,"-71.053974"
"26589",13912472,82529160,"Entire home/apt","South End",31,4.5,4,1,215,42.347092,"-71.074306"
"26590",15420883,51677667,"Entire home/apt","South End",9,4.5,2,1,235,42.340636,"-71.078778"
"26591",17864579,122265729,"Entire home/apt","Back Bay",2,0,3,1,300,42.350577,"-71.085054"
"26592",5782221,18601802,"Entire home/apt","North End",87,5,4,2,285,42.36782,"-71.053242"
"26593",15541488,86748234,"Entire home/apt","Back Bay",1,0,4,2,280,42.35287,"-71.080484"
"26594",14035943,5578043,"Entire home/apt","North End",22,4.5,8,3,299,42.364752,"-71.05228"
"26595",19069715,799496,"Entire home/apt","Fenway",2,0,7,2,280,42.345709,"-71.088841"
"26596",16177666,105620455,"Entire home/apt","Downtown",0,0,6,2,218,42.362196,"-71.049652"
"26597",8813451,4962900,"Entire home/apt","West End",23,4.5,7,3,224,42.363852,"-71.064699"
"26598",9855805,48494513,"Entire home/apt","Back Bay",41,4.5,4,2,229,42.354825,"-71.073348"
"26599",18840848,92691757,"Entire home/apt","Charlestown",1,0,3,1,259,42.370667,"-71.059992"
